Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
32191710,Astrophysics for People in a Hurry,Neil deGrasse Tyson,"Tyson, Neil deGrasse",,"=""0393609391""","=""9780393609394""",5,4.11,W. W. Norton  Company,Hardcover,224,2017,2017,2018/03/19,2018/02/28,,,read,,,,1,,,0,,,,,
23692271,Sapiens: A Brief History of Humankind,Yuval Noah Harari,"Harari, Yuval Noah",,"=""""","=""""",5,4.45,Harvill Secker,Paperback,443,2014,2011,2017/12/24,2017/06/27,,,read,,,,1,,,0,,,,,
12609433,The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,"Duhigg, Charles",,"=""1400069289""","=""9781400069286""",4,4.08,Random House,Hardcover,375,2012,2012,2017/12/20,2017/11/26,,,read,,,,1,,,0,,,,,
34272565,Life 3.0: Being Human in the Age of Artificial Intelligence,Max Tegmark,"Tegmark, Max",,"=""0451485076""","=""9780451485076""",4,4.07,Random House Audio Publishing Group,Audio CD,384,2017,2017,2017/11/26,2017/09/20,,,read,,,,1,,,0,,,,,
32895535,Why Buddhism is True: The Science and Philosophy of Meditation and Enlightenment,Robert Wright,"Wright, Robert",,"=""1508235406""","=""9781508235408""",5,4.04,Simon  Schuster Audio,Audiobook,336,2017,2017,2017/09/26,2017/09/20,,,read,,,,1,,,0,,,,,
28092870,Homo Deus: A Brief History of Tomorrow,Yuval Noah Harari,"Harari, Yuval Noah",,"=""1910701882""","=""9781910701881""",5,4.28,HARVILL/SECKER,Paperback,448,2016,2015,2017/08/24,2017/08/09,,,read,,,,1,,,0,,,,,
27276428,The Gene: An Intimate History,Siddhartha Mukherjee,"Mukherjee, Siddhartha",,"=""1476733503""","=""9781476733500""",5,4.37,Scribner,Hardcover,592,2016,2016,2017/08/23,2017/07/03,,,read,,,,1,,,0,,,,,
646462,Qurʾan / القرآن الكريم,Anonymous,"Anonymous, Anonymous","Muhammad Taqi-ud-Din al-Hilali, Abdullah Yusuf Ali, Muhammad Muhsin Khan","=""""","=""""",5,4.34,,Hardcover,604,650,609,2016/07/17,2016/05/28,,,read,,,,1,,,0,,,,,
3228917,Outliers: The Story of Success,Malcolm Gladwell,"Gladwell, Malcolm",,"=""0316017922""","=""9780316017923""",0,4.14,"Little, Brown and Company",Hardcover,309,2008,2008,,2016/05/23,,,read,,,,1,,,0,,,,,
53281,The Best American Short Stories 2004,Lorrie Moore,"Moore, Lorrie",Katrina Kenison,"=""0618197354""","=""9780618197354""",5,3.94,Mariner Books,Paperback,496,2004,2004,,2012/11/28,,,read,Only read What You Pawn I Will Redeem and its beautiful,,,1,,,0,,,,,
49628,Cloud Atlas,David Mitchell,"Mitchell, David",,"=""0375507256""","=""9780375507250""",5,4.02,Random House,Paperback,509,2004,2004,,2012/11/04,,,read,,,,1,,,0,,,,,
16981,Invisible Man,Ralph Ellison,"Ellison, Ralph",,"=""""","=""""",4,3.86,Vintage,Paperback,581,1995,1952,,2012/11/04,,,read,,,,1,,,0,,,,,
7850,The Girl in the Flammable Skirt,Aimee Bender,"Bender, Aimee",,"=""0385492162""","=""9780385492164""",5,3.88,Anchor,Paperback,192,1999,1998,,2012/10/31,,,read,,,,1,,,0,,,,,
28747,CivilWarLand in Bad Decline,George Saunders,"Saunders, George",,"=""0099595818""","=""9780099595816""",4,4.22,Vintage,Paperback,179,1997,1996,,2012/10/08,,,read,,,,1,,,0,,,,,
537094,The Overcoat,Nikolai Gogol,"Gogol, Nikolai",,"=""1419176528""","=""9781419176524""",5,4.13,Kessinger Publishing,Paperback,48,2004,1842,,2012/09/26,,,read,,,,1,,,0,,,,,
485894,The Metamorphosis,Franz Kafka,"Kafka, Franz","Mircea Ivănescu, Stanley Corngold","=""""","=""""",5,3.80,Bantam Classics,Paperback,201,1972,1915,,2012/09/26,,,read,,,,1,,,0,,,,,
14295,Pastoralia,George Saunders,"Saunders, George",,"=""0747553866""","=""9780747553861""",4,4.11,Bloomsbury Publishing,Paperback,188,2001,2000,,2012/10/14,,,read,,,,1,,,0,,,,,
19106,The Nose,Nikolai Gogol,"Gogol, Nikolai",Kevin Hawkes,"=""0688104649""","=""9780688104641""",5,3.90,HarperCollins Publishers,Hardcover,31,1994,1836,,2012/09/26,,,read,,,,1,,,0,,,,,
